rank,hex_id,lat,lon,resolution,divipola_code,municipality,department,wind_speed,slope,dist_to_grid,dist_to_roads,land_use,protected_area,conflict_risk,wind_speed_norm,slope_norm,dist_to_grid_norm,dist_to_roads_norm,land_use_norm,protected_area_norm,conflict_risk_norm,suitability_score
1,876622390ffffff,10.7881,-74.5847,7,47745,Sitionuevo,Magdalena,7.8400,12.7600,63.7000,61.1000,0.2350,0.3040,0.0000,0.8591,0.4821,0.7452,0.5927,0.3044,0.6960,1.0000,0.6131
2,876622391ffffff,10.7752,-74.5663,7,47745,Sitionuevo,Magdalena,8.1100,12.0900,64.6000,58.9000,0.1970,0.3080,0.0000,0.8957,0.5093,0.7416,0.6073,0.2552,0.6920,1.0000,0.6087
3,8766222a6ffffff,10.7080,-74.5336,7,47605,Remolino,Magdalena,8.2700,12.2200,61.9000,57.7000,0.1930,0.3240,0.0000,0.9173,0.5041,0.7524,0.6153,0.2500,0.6760,1.0000,0.6069
4,8766223b6ffffff,10.8499,-74.5788,7,47745,Sitionuevo,Magdalena,8.6000,13.4300,59.1000,61.7000,0.2200,0.3080,0.0000,0.9621,0.4550,0.7636,0.5887,0.2850,0.6920,1.0000,0.6025
5,876622074ffffff,11.0016,-74.5449,7,8758,Soledad,Atl�Ntico,8.5700,11.3100,83.1000,73.6000,0.2120,0.4220,0.0000,0.9580,0.5410,0.6676,0.5093,0.2746,0.5780,1.0000,0.6013
6,876622303ffffff,10.8234,-74.3860,7,47570,Puebloviejo,Magdalena,7.8500,11.0600,82.9000,75.5000,0.2250,0.5460,0.0000,0.8604,0.5511,0.6684,0.4967,0.2915,0.4540,1.0000,0.6004
7,876622051ffffff,10.9194,-74.5527,7,47745,Sitionuevo,Magdalena,8.5300,12.0100,75.7000,65.1000,0.2040,0.3940,0.0000,0.9526,0.5126,0.6972,0.5660,0.2642,0.6060,1.0000,0.5998
8,876622021ffffff,11.0610,-74.5979,7,8001,Barranquilla,Atl�Ntico,8.0300,12.3900,79.1000,77.2000,0.2360,0.3370,0.0000,0.8848,0.4972,0.6836,0.4853,0.3057,0.6630,1.0000,0.5997
9,876622234ffffff,10.7669,-74.4303,7,47268,El Ret�N,Magdalena,8.1000,11.1800,72.3000,72.7000,0.2400,0.4680,0.0230,0.8943,0.5463,0.7108,0.5153,0.3109,0.5320,0.9753,0.5988
10,8766222f0ffffff,10.6018,-74.4458,7,47268,El Ret�N,Magdalena,8.2900,11.2800,69.1000,66.4000,0.1720,0.3340,0.0000,0.9201,0.5422,0.7236,0.5573,0.2228,0.6660,1.0000,0.5983
11,876622385ffffff,10.7981,-74.5055,7,47745,Sitionuevo,Magdalena,8.0700,13.5700,65.7000,63.5000,0.2360,0.3960,0.0000,0.8902,0.4493,0.7372,0.5767,0.3057,0.6040,1.0000,0.5945
12,8766220ccffffff,10.8553,-74.6174,7,47745,Sitionuevo,Magdalena,8.1600,12.3100,70.1000,64.2000,0.1820,0.3020,0.0000,0.9024,0.5004,0.7196,0.5720,0.2358,0.6980,1.0000,0.5913
13,876622396ffffff,10.8011,-74.6030,7,47745,Sitionuevo,Magdalena,8.0100,11.7700,62.4000,53.5000,0.1560,0.3220,0.0000,0.8821,0.5223,0.7504,0.6433,0.2021,0.6780,1.0000,0.5893
14,876622020ffffff,11.0739,-74.6162,7,8001,Barranquilla,Atl�Ntico,8.1900,13.7200,93.6000,70.1000,0.2960,0.3160,0.0000,0.9065,0.4432,0.6256,0.5327,0.3834,0.6840,1.0000,0.5890
15,876622382ffffff,10.7828,-74.5461,7,47745,Sitionuevo,Magdalena,8.1900,13.1100,66.8000,64.4000,0.2310,0.3170,0.0170,0.9065,0.4679,0.7328,0.5707,0.2992,0.6830,0.9817,0.5875
16,87662214cffffff,11.0526,-74.4620,7,47570,Puebloviejo,Magdalena,8.1900,11.9600,96.0000,87.0000,0.2580,0.4930,0.0000,0.9065,0.5146,0.6160,0.4200,0.3342,0.5070,1.0000,0.5867
17,8766222f4ffffff,10.6225,-74.4439,7,47268,El Ret�N,Magdalena,7.9600,12.3200,66.5000,66.0000,0.1740,0.3380,0.0000,0.8753,0.5000,0.7340,0.5600,0.2254,0.6620,1.0000,0.5843
18,8766222aeffffff,10.6614,-74.4989,7,47605,Remolino,Magdalena,8.1800,11.3500,56.4000,59.0000,0.1790,0.3150,0.0330,0.9051,0.5394,0.7744,0.6067,0.2319,0.6850,0.9645,0.5822
19,87662238cffffff,10.7646,-74.4892,7,47745,Sitionuevo,Magdalena,8.0600,13.2700,67.3000,59.5000,0.2120,0.4080,0.0030,0.8889,0.4614,0.7308,0.6033,0.2746,0.5920,0.9968,0.5817
20,8766220e1ffffff,10.9170,-74.6116,7,8758,Soledad,Atl�Ntico,8.2600,12.6700,71.7000,60.5000,0.2040,0.3150,0.0160,0.9160,0.4858,0.7132,0.5967,0.2642,0.6850,0.9828,0.5815
21,876622064ffffff,11.0039,-74.4861,7,47570,Puebloviejo,Magdalena,8.0400,12.6500,88.3000,80.5000,0.2420,0.4850,0.0000,0.8862,0.4866,0.6468,0.4633,0.3135,0.5150,1.0000,0.5808
22,8766222a1ffffff,10.6820,-74.4969,7,47605,Remolino,Magdalena,8.1300,12.5700,61.1000,61.2000,0.1930,0.3350,0.0200,0.8984,0.4899,0.7556,0.5920,0.2500,0.6650,0.9785,0.5793
23,8766220e8ffffff,10.8835,-74.5952,7,47745,Sitionuevo,Magdalena,8.1600,13.3900,68.3000,62.8000,0.2110,0.3000,0.0120,0.9024,0.4566,0.7268,0.5813,0.2733,0.7000,0.9871,0.5778
24,876622285ffffff,10.6537,-74.5191,7,47605,Remolino,Magdalena,7.7100,13.2100,59.0000,53.1000,0.1750,0.3270,0.0000,0.8415,0.4639,0.7640,0.6460,0.2267,0.6730,1.0000,0.5776
25,87662239effffff,10.7545,-74.5683,7,47745,Sitionuevo,Magdalena,8.4700,12.8500,55.1000,56.5000,0.1660,0.3180,0.0060,0.9444,0.4785,0.7796,0.6233,0.2150,0.6820,0.9935,0.5770
26,876622049ffffff,10.8752,-74.4592,7,47570,Puebloviejo,Magdalena,8.3300,12.1500,83.2000,70.3000,0.1910,0.4910,0.0000,0.9255,0.5069,0.6672,0.5313,0.2474,0.5090,1.0000,0.5768
27,876622398ffffff,10.7416,-74.5500,7,47605,Remolino,Magdalena,7.5400,12.3600,74.3000,64.0000,0.1950,0.3230,0.0080,0.8184,0.4984,0.7028,0.5733,0.2526,0.6770,0.9914,0.5754
28,8766222b5ffffff,10.7003,-74.5539,7,47605,Remolino,Magdalena,7.8700,13.0100,56.4000,52.4000,0.1780,0.3210,0.0110,0.8631,0.4720,0.7744,0.6507,0.2306,0.6790,0.9882,0.5749
29,87662239cffffff,10.7622,-74.5480,7,47745,Sitionuevo,Magdalena,7.8600,14.0000,67.8000,60.0000,0.2230,0.3150,0.0050,0.8618,0.4318,0.7288,0.6000,0.2889,0.6850,0.9946,0.5748
